term,label
Python,IT_TERM
Java,IT_TERM
JavaScript,IT_TERM
TypeScript,IT_TERM
C#,IT_TERM
PHP,IT_TERM
React,IT_TERM
Angular,IT_TERM
Vue.js,IT_TERM
Django,IT_TERM
Flask,IT_TERM
Laravel,IT_TERM
Spring Boot,IT_TERM
Node.js,IT_TERM
MySQL,IT_TERM
PostgreSQL,IT_TERM
MongoDB,IT_TERM
SQLite,IT_TERM
Oracle Database,IT_TERM
Git,IT_TERM
GitHub,IT_TERM
Docker,IT_TERM
Kubernetes,IT_TERM
Jenkins,IT_TERM
Postman,IT_TERM
Jira,IT_TERM
Figma,IT_TERM
AWS,IT_TERM
Microsoft Azure,IT_TERM
Google Cloud Platform,IT_TERM
Linux,IT_TERM
Windows Server,IT_TERM
Ubuntu,IT_TERM
REST API,IT_TERM
Machine Learning,IT_TERM
Data Structures,IT_TERM
Object-Oriented Programming,IT_TERM
Version Control,IT_TERM
Agile,IT_TERM
Scrum,IT_TERM
DevOps,IT_TERM
Computer Setup,IT_TERM
Computer Support,IT_TERM
Computer Assembly,IT_TERM
PC Assembly,IT_TERM
Hardware Assembly,IT_TERM
Hardware Maintenance,IT_TERM
Hardware Installation,IT_TERM
Hardware Repair,IT_TERM
Hardware Troubleshooting,IT_TERM
Printer Installation,IT_TERM
Printer Repair,IT_TERM
Printer Troubleshooting,IT_TERM
Printer Driver,IT_TERM
PDF Conversion,IT_TERM
File Conversion,IT_TERM
Network Troubleshooting,IT_TERM
Data Management,IT_TERM
Data Encoding,IT_TERM
Data Entry,IT_TERM
Data Validation,IT_TERM
Data Calculation,IT_TERM
Data Input,IT_TERM
Database Management,IT_TERM
Database Schema,IT_TERM
Database Queries,IT_TERM
Database Seeder,IT_TERM
Database Connections,IT_TERM
Database Storage,IT_TERM
Database Normalization,IT_TERM
Schema Backup,IT_TERM
System Development,IT_TERM
System Design,IT_TERM
System Planning,IT_TERM
System Testing,IT_TERM
System Debugging,IT_TERM
System Deployment,IT_TERM
System Maintenance,IT_TERM
System Encryption,IT_TERM
System Features,IT_TERM
System Modules,IT_TERM
System Interface,IT_TERM
System Performance,IT_TERM
System Stability,IT_TERM
Application Development,IT_TERM
Application Management,IT_TERM
Family Profiling Application,IT_TERM
Nutrimap System,IT_TERM
Inquiry System,IT_TERM
AI Chatbot,IT_TERM
Gemini API,IT_TERM
Backend API,IT_TERM
API Routes,IT_TERM
API Endpoints,IT_TERM
Livewire,IT_TERM
Spatie,IT_TERM
Composer,IT_TERM
PhpSpreadsheet,IT_TERM
Flutter,IT_TERM
Code Debugging,IT_TERM
Code Refactoring,IT_TERM
Bug Fixing,IT_TERM
Error Handling,IT_TERM
Form Validation,IT_TERM
Session Management,IT_TERM
RBAC,IT_TERM
Access Control,IT_TERM
Role Assignment,IT_TERM
User Management,IT_TERM
Password Recovery,IT_TERM
Password Reset,IT_TERM
Email Verification,IT_TERM
Email Service,IT_TERM
Mailer,IT_TERM
Rate Limiting,IT_TERM
GitHub Workflow,IT_TERM
Git Commits,IT_TERM
Git Branches,IT_TERM
Merge Conflict,IT_TERM
CSS,IT_TERM
Responsive Design,IT_TERM
UI Components,IT_TERM
UI/UX Design,IT_TERM
UI Design,IT_TERM
UX Design,IT_TERM
Figma Prototype,IT_TERM
Dashboard Interface,IT_TERM
Landing Page,IT_TERM
Layout Design,IT_TERM
Visual Design,IT_TERM
Canva,IT_TERM
Adobe Photoshop,IT_TERM
Poster Design,IT_TERM
Brochure Design,IT_TERM
Certificate Design,IT_TERM
Template Design,IT_TERM
Logbook Template,IT_TERM
Tarpaulin Design,IT_TERM
Identification Card Design,IT_TERM
QR Code,IT_TERM
Interactive Map,IT_TERM
GeoJSON,IT_TERM
Geospatial Tracking,IT_TERM
Web Hosting,IT_TERM
InfinityFree,IT_TERM
Hosting Environment,IT_TERM
Web Server,IT_TERM
Server Settings,IT_TERM
Server Configuration,IT_TERM
Deployment Testing,IT_TERM
Production Deployment,IT_TERM
Computer Hardware Maintenance,IT_TERM
iClinicSys,IT_TERM
eGOV.PH,IT_TERM
Microsoft Word,IT_TERM
Google Forms,IT_TERM
Google Sheets,IT_TERM
Facebook Management,IT_TERM
Facebook Posting,IT_TERM
Digital File Management,IT_TERM
File Management,IT_TERM
Digital File Organization,IT_TERM
Capstone Project,IT_TERM
Capstone Study,IT_TERM
IT Fest,IT_TERM
Research Summit,IT_TERM
Document Organization,CLERICAL_TERM
Document Filing,CLERICAL_TERM
Document Sorting,CLERICAL_TERM
Document Arrangement,CLERICAL_TERM
Document Management,CLERICAL_TERM
Document Handling,CLERICAL_TERM
Document Preparation,CLERICAL_TERM
Document Distribution,CLERICAL_TERM
Document Routing,CLERICAL_TERM
Document Review,CLERICAL_TERM
Document Checking,CLERICAL_TERM
Document Verification,CLERICAL_TERM
Document Editing,CLERICAL_TERM
Document Processing,CLERICAL_TERM
Document Forwarding,CLERICAL_TERM
Document Delivery,CLERICAL_TERM
Document Safekeeping,CLERICAL_TERM
Document Labeling,CLERICAL_TERM
File Organization,CLERICAL_TERM
File Arrangement,CLERICAL_TERM
File Filing,CLERICAL_TERM
File Checking,CLERICAL_TERM
Folder Organization,CLERICAL_TERM
Filing System,CLERICAL_TERM
Record Management,CLERICAL_TERM
Record Keeping,CLERICAL_TERM
Record Organization,CLERICAL_TERM
Record Checking,CLERICAL_TERM
Records Management,CLERICAL_TERM
Incoming Documents,CLERICAL_TERM
Scanning Documents,CLERICAL_TERM
Information Updating,CLERICAL_TERM
Information Reviewing,CLERICAL_TERM
Information Checking,CLERICAL_TERM
Data Correction,CLERICAL_TERM
Data Recording,CLERICAL_TERM
Data Consolidation,CLERICAL_TERM
Data Organization,CLERICAL_TERM
Data Verification,CLERICAL_TERM
Savings Accounts,CLERICAL_TERM
Shares Accounts,CLERICAL_TERM
Account Balances,CLERICAL_TERM
Financial Transactions,CLERICAL_TERM
Payment Records,CLERICAL_TERM
Collection Reports,CLERICAL_TERM
Financial Records,CLERICAL_TERM
Beneficiary Records,CLERICAL_TERM
Scholarship Data,CLERICAL_TERM
Student Records,CLERICAL_TERM
Patient Records,CLERICAL_TERM
Medical Records,CLERICAL_TERM
Prescription Records,CLERICAL_TERM
PhilHealth Eligibility,CLERICAL_TERM
