term,count,classification,source,confidence,sample_context
clearance forms,2,CLERICAL_TERM,dictionary,1.0,"First day was mostly about getting settled in at the MIS office. Engr. Santos introduced me to the other interns and showed us where our desks were. In the morning, I spent a lot of time wiping down my desk and getting my workstation ready. My computer was running an old OS, so I had to download Ubuntu and set up my dev environment from scratch. Afterwards, I installed Git so I could pull our project repository from GitHub. In the afternoon, Ma'am Elena from admin gave us a tour of the records room and had us sign some clearance forms and visitor guidelines. We didn't do much coding today, mostly just orientations and reading the company documentation."
student records,2,CLERICAL_TERM,dictionary,1.0,"Today felt a lot more productive! I paired up with Ken to inspect the department's student records database. The old database was a bit messy with redundant rows, so we started designing clean relational tables in PostgreSQL. Ken showed me some handy SQL queries to check foreign keys. Later in the afternoon, I wrote a quick data migration script using Python to clean up the exported CSV rows and load them into the new schema. Right before 4 PM, Ma'am Sarah asked if I could help her with document stamping and sorting paper requisitions for the accounting office. It took about 45 minutes to finish stamping and filing them into the green folders."
web server,2,IT_TERM,dictionary,1.0,"Heavy backend day today. We deployed our test cluster on Kubernetes in the staging environment. Setting up the ingress routing took a little trial and error, but we finally got traffic forwarding correctly. Later, I helped build a background worker script in Node.js connected to RabbitMQ to process bulk email notifications without freezing the web server. In the late afternoon, I was assigned to encode a batch of incoming scholarship application folders into the university database registry."
MIS office,1,CLERICAL_TERM,ML,0.0504,"First day was mostly about getting settled in at the MIS office. Engr. Santos introduced me to the other interns and showed us where our desks were. In the morning, I spent a lot of time wiping down my desk and getting my workstation ready. My computer was running an old OS, so I had to download Ubuntu and set up my dev environment from scratch. Afterwards, I installed Git so I could pull our project repository from GitHub. In the afternoon, Ma'am Elena from admin gave us a tour of the records room and had us sign some clearance forms and visitor guidelines. We didn't do much coding today, mostly just orientations and reading the company documentation."
OS,1,IT_TERM,ML,0.9999,"First day was mostly about getting settled in at the MIS office. Engr. Santos introduced me to the other interns and showed us where our desks were. In the morning, I spent a lot of time wiping down my desk and getting my workstation ready. My computer was running an old OS, so I had to download Ubuntu and set up my dev environment from scratch. Afterwards, I installed Git so I could pull our project repository from GitHub. In the afternoon, Ma'am Elena from admin gave us a tour of the records room and had us sign some clearance forms and visitor guidelines. We didn't do much coding today, mostly just orientations and reading the company documentation."
Ubuntu,1,IT_TERM,dictionary,1.0,"First day was mostly about getting settled in at the MIS office. Engr. Santos introduced me to the other interns and showed us where our desks were. In the morning, I spent a lot of time wiping down my desk and getting my workstation ready. My computer was running an old OS, so I had to download Ubuntu and set up my dev environment from scratch. Afterwards, I installed Git so I could pull our project repository from GitHub. In the afternoon, Ma'am Elena from admin gave us a tour of the records room and had us sign some clearance forms and visitor guidelines. We didn't do much coding today, mostly just orientations and reading the company documentation."
Git,1,IT_TERM,dictionary,1.0,"First day was mostly about getting settled in at the MIS office. Engr. Santos introduced me to the other interns and showed us where our desks were. In the morning, I spent a lot of time wiping down my desk and getting my workstation ready. My computer was running an old OS, so I had to download Ubuntu and set up my dev environment from scratch. Afterwards, I installed Git so I could pull our project repository from GitHub. In the afternoon, Ma'am Elena from admin gave us a tour of the records room and had us sign some clearance forms and visitor guidelines. We didn't do much coding today, mostly just orientations and reading the company documentation."
GitHub,1,IT_TERM,dictionary,1.0,"First day was mostly about getting settled in at the MIS office. Engr. Santos introduced me to the other interns and showed us where our desks were. In the morning, I spent a lot of time wiping down my desk and getting my workstation ready. My computer was running an old OS, so I had to download Ubuntu and set up my dev environment from scratch. Afterwards, I installed Git so I could pull our project repository from GitHub. In the afternoon, Ma'am Elena from admin gave us a tour of the records room and had us sign some clearance forms and visitor guidelines. We didn't do much coding today, mostly just orientations and reading the company documentation."
PostgreSQL,1,IT_TERM,dictionary,1.0,"Today felt a lot more productive! I paired up with Ken to inspect the department's student records database. The old database was a bit messy with redundant rows, so we started designing clean relational tables in PostgreSQL. Ken showed me some handy SQL queries to check foreign keys. Later in the afternoon, I wrote a quick data migration script using Python to clean up the exported CSV rows and load them into the new schema. Right before 4 PM, Ma'am Sarah asked if I could help her with document stamping and sorting paper requisitions for the accounting office. It took about 45 minutes to finish stamping and filing them into the green folders."
SQL,1,IT_TERM,ML,0.9999,"Today felt a lot more productive! I paired up with Ken to inspect the department's student records database. The old database was a bit messy with redundant rows, so we started designing clean relational tables in PostgreSQL. Ken showed me some handy SQL queries to check foreign keys. Later in the afternoon, I wrote a quick data migration script using Python to clean up the exported CSV rows and load them into the new schema. Right before 4 PM, Ma'am Sarah asked if I could help her with document stamping and sorting paper requisitions for the accounting office. It took about 45 minutes to finish stamping and filing them into the green folders."
